band1,band2,band3,band4,band5,disease severity
0.18466,0.40369,0.34184,0.32791,0.35343,1.33
0.25788,0.54862,0.56355,0.41763,0.376,2.33
0.2536,0.53922,0.57717,0.42634,0.39948,2.33
0.16551,0.35807,0.33592,0.31116,0.35755,1.67
0.24339,0.54758,0.5466,0.40739,0.39663,2.33
0.27641,0.57586,0.58258,0.43616,0.41057,2.33
0.15995,0.3586,0.32185,0.30858,0.36203,1
0.25442,0.56683,0.54225,0.43492,0.42763,2
0.32292,0.6214,0.67494,0.44036,0.39,5
0.23724,0.50056,0.53394,0.38227,0.34849,2
0.17792,0.36921,0.32601,0.30333,0.35136,1.33
0.19476,0.4228,0.37569,0.35865,0.36645,1.67
0.16395,0.38306,0.34883,0.2794,0.31354,2
0.22619,0.47887,0.49262,0.38259,0.38496,2
0.19741,0.40117,0.37272,0.32564,0.36771,2.33
0.19703,0.402,0.40619,0.33987,0.37232,2
0.18331,0.39594,0.36465,0.30044,0.3748,2.33
0.16075,0.36016,0.32895,0.3039,0.36021,1.67
0.28207,0.56591,0.65923,0.43386,0.39907,5
0.15641,0.30335,0.31992,0.25769,0.28923,1.33
0.18726,0.41031,0.33614,0.33427,0.37218,1.33
0.26212,0.55821,0.54638,0.44218,0.4258,2.33
0.24987,0.51614,0.55174,0.40159,0.38125,2.33
0.17036,0.35223,0.32714,0.29915,0.35211,1.67
0.24598,0.52249,0.54331,0.4098,0.39298,2.33
0.26261,0.557,0.55061,0.42455,0.4095,2.33
0.15631,0.34159,0.30485,0.30339,0.35191,1
0.26687,0.56892,0.55968,0.45295,0.43535,2
0.30273,0.5884,0.61261,0.41858,0.39647,5
0.22589,0.48324,0.49796,0.375,0.35495,2
0.16832,0.37016,0.32547,0.31573,0.35102,1.33
0.19755,0.42154,0.34841,0.36429,0.39845,1.67
0.14615,0.31971,0.31649,0.25855,0.31047,2
0.19345,0.41968,0.38956,0.35525,0.37589,2
0.19883,0.39374,0.3831,0.3172,0.36028,2.33
0.20004,0.43527,0.41639,0.33601,0.36867,2
0.18341,0.37369,0.37584,0.30552,0.32693,2.33
0.16782,0.39019,0.36567,0.31122,0.35548,1.67
